classe,fpr,tpr,thresholds
Amarelo,0.0029596744358120607,0.4069119286510591,0.904
Amarelo,0.0029596744358120607,0.4269788182831661,0.9
Amarelo,0.003329633740288568,0.43701226309921964,0.898
Amarelo,0.003699593044765076,0.44816053511705684,0.896
Amarelo,0.003699593044765076,0.4559643255295429,0.894
Amarelo,0.003699593044765076,0.4693422519509476,0.892
Amarelo,0.003699593044765076,0.4738015607580825,0.89
Amarelo,0.004069552349241583,0.48494983277591974,0.888
Amarelo,0.004439511653718091,0.48940914158305465,0.886
Amarelo,0.004809470958194599,0.49498327759197325,0.884
Amarelo,0.004809470958194599,0.5172798216276477,0.88
Amarelo,0.005179430262671106,0.5217391304347826,0.878
Amarelo,0.005179430262671106,0.5328874024526199,0.876
Amarelo,0.005179430262671106,0.5384615384615384,0.874
Amarelo,0.0059193488716241215,0.5440356744704571,0.872
Amarelo,0.0059193488716241215,0.5473801560758083,0.87
Amarelo,0.006289308176100629,0.5529542920847269,0.868
Amarelo,0.006289308176100629,0.5574136008918618,0.866
Amarelo,0.006289308176100629,0.5652173913043478,0.864
Amarelo,0.006289308176100629,0.5696767001114827,0.862
Amarelo,0.006289308176100629,0.5730211817168339,0.86
Amarelo,0.007029226785053644,0.5752508361204013,0.858
Amarelo,0.007029226785053644,0.5774804905239688,0.856
Amarelo,0.007029226785053644,0.5808249721293199,0.854
Amarelo,0.007399186089530152,0.5863991081382386,0.852
Amarelo,0.007399186089530152,0.5908584169453734,0.848
Amarelo,0.00776914539400666,0.5986622073578596,0.846
Amarelo,0.00776914539400666,0.6042363433667781,0.844
Amarelo,0.00776914539400666,0.6086956521739131,0.842
Amarelo,0.008139104698483167,0.6086956521739131,0.84
Amarelo,0.008139104698483167,0.6120401337792643,0.838
Amarelo,0.008139104698483167,0.6142697881828316,0.836
Amarelo,0.008139104698483167,0.6254180602006689,0.832
Amarelo,0.008509064002959674,0.6276477146042363,0.83
Amarelo,0.008509064002959674,0.6309921962095875,0.828
Amarelo,0.008509064002959674,0.6365663322185061,0.826
Amarelo,0.008509064002959674,0.6387959866220736,0.824
Amarelo,0.008879023307436182,0.6432552954292085,0.822
Amarelo,0.00924898261191269,0.6510590858416946,0.82
Amarelo,0.00924898261191269,0.6555183946488294,0.818
Amarelo,0.00924898261191269,0.6577480490523969,0.816
Amarelo,0.00924898261191269,0.6655518394648829,0.814
Amarelo,0.00924898261191269,0.6700111482720178,0.81
Amarelo,0.00924898261191269,0.673355629877369,0.808
Amarelo,0.00924898261191269,0.6778149386845039,0.806
Amarelo,0.009988901220865706,0.6789297658862876,0.804
Amarelo,0.009988901220865706,0.6833890746934225,0.802
Amarelo,0.009988901220865706,0.6867335562987736,0.8
Amarelo,0.010358860525342212,0.6889632107023411,0.798
Amarelo,0.01072881982981872,0.6900780379041248,0.796
Amarelo,0.011098779134295227,0.6978818283166109,0.794
Amarelo,0.011098779134295227,0.7023411371237458,0.792
Amarelo,0.011468738438771735,0.7034559643255296,0.79
Amarelo,0.011838697743248243,0.7079152731326644,0.788
Amarelo,0.011838697743248243,0.7101449275362319,0.786
Amarelo,0.011838697743248243,0.7134894091415831,0.784
Amarelo,0.011838697743248243,0.717948717948718,0.78
Amarelo,0.011838697743248243,0.7246376811594203,0.776
Amarelo,0.01220865704772475,0.725752508361204,0.774
Amarelo,0.01220865704772475,0.7279821627647715,0.772
Amarelo,0.012578616352201259,0.7302118171683389,0.77
Amarelo,0.012948575656677765,0.7302118171683389,0.768
Amarelo,0.012948575656677765,0.7313266443701226,0.766
Amarelo,0.013318534961154272,0.7346711259754738,0.764
Amarelo,0.013318534961154272,0.7369007803790413,0.76
Amarelo,0.013318534961154272,0.7413600891861761,0.754
Amarelo,0.013318534961154272,0.7447045707915273,0.752
Amarelo,0.013318534961154272,0.7491638795986622,0.75
Amarelo,0.01368849426563078,0.750278706800446,0.748
Amarelo,0.01368849426563078,0.7536231884057971,0.746
Amarelo,0.01368849426563078,0.7558528428093646,0.74
Amarelo,0.014058453570107288,0.7591973244147158,0.738
Amarelo,0.014058453570107288,0.7614269788182831,0.736
Amarelo,0.014058453570107288,0.7681159420289855,0.72
Amarelo,0.014058453570107288,0.7725752508361204,0.716
Amarelo,0.014058453570107288,0.7736900780379041,0.714
Amarelo,0.014428412874583796,0.7748049052396878,0.712
Amarelo,0.014798372179060304,0.7748049052396878,0.71
Amarelo,0.014798372179060304,0.7759197324414716,0.708
Amarelo,0.015168331483536811,0.7792642140468228,0.706
Amarelo,0.015908250092489827,0.7803790412486065,0.702
Amarelo,0.015908250092489827,0.7814938684503902,0.7
Amarelo,0.015908250092489827,0.7837235228539576,0.698
Amarelo,0.016648168701442843,0.7848383500557413,0.696
Amarelo,0.017388087310395855,0.7870680044593088,0.69
Amarelo,0.017388087310395855,0.7892976588628763,0.688
Amarelo,0.017758046614872364,0.7892976588628763,0.686
Amarelo,0.017758046614872364,0.7915273132664437,0.684
Amarelo,0.01812800591934887,0.7926421404682275,0.682
Amarelo,0.01812800591934887,0.7971014492753623,0.68
Amarelo,0.01812800591934887,0.8082497212931996,0.664
Amarelo,0.018867924528301886,0.810479375696767,0.658
